x,y,z
807,72,62.0
808,72,62.0
809,72,62.0
810,72,62.0
811,72,62.0
812,72,62.0
813,72,62.0
814,72,62.0
815,72,62.0
816,72,62.0
817,72,62.0
818,72,62.0
819,72,62.0
820,72,62.0
821,72,62.0
822,72,62.0
823,72,62.0
824,72,62.0
825,72,62.0
826,72,62.0
827,72,62.0
828,74,62.0
829,74,62.0
830,74,62.0
831,74,62.0
832,74,62.0
833,74,62.0
834,74,62.0
835,74,62.0
836,74,62.0
837,74,62.0
838,74,62.0
839,74,62.0
840,77,62.0
841,77,62.0
842,77,62.0
843,77,62.0
844,77,62.0
845,77,62.0
846,77,62.0
847,77,62.0
848,75,62.0
849,75,62.0
850,75,62.0
851,75,62.0
852,75,62.0
853,75,62.0
854,75,62.0
855,74,62.0
856,74,62.0
857,74,62.0
858,74,62.0
859,74,62.0
860,74,62.0
861,74,62.0
862,74,62.0
863,74,62.0
888,95,62.0
889,83,62.0
890,83,62.0
891,95,62.0
892,83,62.0
893,83,62.0
894,95,62.0
895,83,62.0
896,83,62.0
897,95,62.0
898,83,62.0
899,83,62.0
900,95,62.0
901,83,62.0
902,83,62.0
903,95,62.0
904,83,62.0
905,83,62.0
906,95,62.0
907,83,62.0
908,83,62.0
909,95,62.0
910,83,62.0
911,83,62.0
912,95,62.0
913,83,62.0
914,83,62.0
915,95,62.0
916,83,62.0
917,83,62.0
918,95,62.0
919,83,62.0
920,83,62.0
921,95,62.0
922,83,62.0
923,83,62.0
924,95,62.0
925,83,62.0
926,83,62.0
927,95,62.0
928,83,62.0
929,83,62.0
930,95,62.0
931,83,62.0
932,83,62.0
933,95,62.0
934,83,62.0
935,83,62.0
936,95,62.0
937,83,62.0
938,83,62.0
939,95,62.0
940,83,62.0
941,83,62.0
942,95,62.0
943,83,62.0
944,83,62.0
945,95,62.0
946,83,62.0
947,83,62.0
948,93,62.0
949,81,62.0
950,81,62.0
951,93,62.0
952,81,62.0
953,81,62.0
954,93,62.0
955,81,62.0
956,81,62.0
957,93,62.0
958,81,62.0
959,81,62.0
960,92,62.0
961,80,62.0
962,80,62.0
963,92,62.0
964,80,62.0
965,80,62.0
966,92,62.0
967,80,62.0
968,80,62.0
969,92,62.0
970,80,62.0
971,80,62.0
972,90,62.0
973,78,62.0
974,78,62.0
975,90,62.0
976,78,62.0
977,78,62.0
978,90,62.0
979,78,62.0
980,78,62.0
981,90,62.0
982,78,62.0
983,78,62.0
984,83,62.0
985,71,62.0
986,71,62.0
987,83,62.0
988,71,62.0
989,71,62.0
990,83,62.0
991,71,62.0
992,71,62.0
993,83,62.0
994,71,62.0
995,71,62.0
996,81,62.0
997,69,62.0
998,69,62.0
999,81,62.0
1000,69,62.0
1001,69,62.0
1002,81,62.0
1003,69,62.0
1004,69,62.0
1005,81,62.0
1006,69,62.0
1007,69,62.0
1008,80,62.0
1009,68,62.0
1010,68,62.0
1011,80,62.0
1012,68,62.0
1013,68,62.0
1014,80,62.0
1015,68,62.0
1016,68,62.0
1017,80,62.0
1018,68,62.0
1019,68,62.0
1020,78,62.0
1021,66,62.0
1022,66,62.0
1023,78,62.0
1024,66,62.0
1025,66,62.0
1026,78,62.0
1027,66,62.0
1028,66,62.0
1029,78,62.0
1030,66,62.0
1031,66,62.0
1032,71,62.0
1033,59,62.0
1034,59,62.0
1035,71,62.0
1036,59,62.0
1037,59,62.0
1038,71,62.0
1039,59,62.0
1040,59,62.0
1041,71,62.0
1042,59,62.0
1043,59,62.0
1044,69,62.0
1045,57,62.0
1046,57,62.0
1047,69,62.0
1048,57,62.0
1049,57,62.0
1050,69,62.0
1051,57,62.0
1052,57,62.0
1053,69,62.0
1054,57,62.0
1055,57,62.0
1056,68,62.0
1057,56,62.0
1058,56,62.0
1059,68,62.0
1060,56,62.0
1061,56,62.0
1062,68,62.0
1063,56,62.0
1064,56,62.0
1065,68,62.0
1066,56,62.0
1067,56,62.0
1068,66,62.0
1069,54,62.0
1070,54,62.0
1071,66,62.0
1072,54,62.0
1073,54,62.0
1074,66,62.0
1075,54,62.0
1076,54,62.0
1077,66,62.0
1078,54,62.0
1079,54,62.0
1248,71,62.0
1249,71,62.0
1250,71,62.0
1251,71,62.0
1252,71,62.0
1253,71,62.0
1254,71,62.0
1255,71,62.0
1256,71,62.0
1257,71,62.0
1258,71,62.0
1259,71,62.0
1260,71,62.0
1261,71,62.0
1262,71,62.0
1263,71,62.0
1264,71,62.0
1265,71,62.0
1266,71,62.0
1267,71,62.0
1268,71,62.0
1269,71,62.0
1270,71,62.0
1271,71,62.0
1272,73,75.0
1273,73,75.0
1274,73,75.0
1275,73,75.0
1276,73,75.0
1277,73,75.0
1278,73,75.0
1279,73,75.0
1280,73,75.0
1281,73,75.0
1282,73,75.0
1283,73,75.0
1284,73,75.0
1285,73,75.0
1286,73,75.0
1287,73,75.0
1288,73,75.0
1289,73,75.0
1290,73,75.0
1291,73,75.0
1292,73,75.0
1293,73,75.0
1294,73,75.0
1295,73,75.0
1296,78,88.0
1297,78,88.0
1298,78,88.0
1299,78,88.0
1300,78,88.0
1301,78,88.0
1302,78,88.0
1303,78,88.0
1304,78,88.0
1305,78,88.0
1306,78,88.0
1307,78,88.0
1308,78,88.0
1309,78,88.0
1310,78,88.0
1311,78,88.0
1312,78,88.0
1313,78,88.0
1314,78,88.0
1315,78,88.0
1316,78,88.0
1317,78,88.0
1318,78,88.0
1319,78,88.0
1320,61,62.0
1320,73,62.0
1321,61,62.0
1321,73,62.0
1322,61,62.0
1322,73,62.0
1323,61,62.0
1323,73,62.0
1324,61,62.0
1324,73,62.0
1325,61,62.0
1325,73,62.0
1326,61,62.0
1326,73,62.0
1327,61,62.0
1327,73,62.0
1328,61,62.0
1328,73,62.0
1329,61,62.0
1329,73,62.0
1330,61,62.0
1330,73,62.0
1331,61,62.0
1331,73,62.0
1332,61,62.0
1332,73,62.0
1333,61,62.0
1333,73,62.0
1334,61,62.0
1334,73,62.0
1335,61,62.0
1335,73,62.0
1336,61,62.0
1336,73,62.0
1337,61,62.0
1337,73,62.0
1338,61,62.0
1338,73,62.0
1339,61,62.0
1339,73,62.0
1340,61,62.0
1340,73,62.0
1341,61,62.0
1341,73,62.0
1342,61,62.0
1342,73,62.0
1343,61,62.0
1343,73,62.0
1344,66,62.0
1344,78,62.0
1345,66,62.0
1345,78,62.0
1346,66,62.0
1346,78,62.0
1347,66,62.0
1347,78,62.0
1348,66,62.0
1348,78,62.0
1349,66,62.0
1349,78,62.0
1350,66,62.0
1350,78,62.0
1351,66,62.0
1351,78,62.0
1352,66,62.0
1352,78,62.0
1353,66,62.0
1353,78,62.0
1354,66,62.0
1354,78,62.0
1355,66,62.0
1355,78,62.0
1356,66,62.0
1356,78,62.0
1357,66,62.0
1357,78,62.0
1358,66,62.0
1358,78,62.0
1359,66,62.0
1359,78,62.0
1360,66,62.0
1360,78,62.0
1361,66,62.0
1361,78,62.0
1362,66,62.0
1362,78,62.0
1363,66,62.0
1363,78,62.0
1364,66,62.0
1364,78,62.0
1365,66,62.0
1365,78,62.0
1366,66,62.0
1366,78,62.0
1367,66,62.0
1367,78,62.0
1368,68,62.0
1368,80,62.0
1369,68,62.0
1369,80,62.0
1370,68,62.0
1370,80,62.0
1371,68,62.0
1371,80,62.0
1372,68,62.0
1372,80,62.0
1373,68,62.0
1373,80,62.0
1374,68,62.0
1374,80,62.0
1375,68,62.0
1375,80,62.0
1376,68,62.0
1376,80,62.0
1377,68,62.0
1377,80,62.0
1378,68,62.0
1378,80,62.0
1379,68,62.0
1379,80,62.0
1380,68,62.0
1380,80,62.0
1381,68,62.0
