x,y,z
0,23,49.0
1,23,49.0
2,23,49.0
3,35,49.0
4,35,49.0
5,35,49.0
6,23,49.0
7,23,49.0
8,23,49.0
9,35,49.0
10,35,49.0
11,35,49.0
12,23,49.0
13,23,49.0
14,23,49.0
15,35,49.0
16,35,49.0
17,35,49.0
18,23,49.0
19,23,49.0
20,23,49.0
21,35,49.0
22,35,49.0
23,35,49.0
24,23,49.0
25,23,49.0
26,23,49.0
27,35,49.0
28,35,49.0
29,35,49.0
30,23,49.0
31,23,49.0
32,23,49.0
33,35,49.0
34,35,49.0
35,35,49.0
36,23,49.0
37,23,49.0
38,23,49.0
39,35,49.0
40,35,49.0
41,35,49.0
42,23,49.0
43,23,49.0
44,23,49.0
45,35,49.0
46,35,49.0
47,35,49.0
48,23,49.0
49,23,49.0
50,23,49.0
51,35,49.0
52,35,49.0
53,35,49.0
54,23,49.0
55,23,49.0
56,23,49.0
57,35,49.0
58,35,49.0
59,35,49.0
60,23,49.0
61,23,49.0
62,23,49.0
63,35,49.0
64,35,49.0
65,35,49.0
66,23,49.0
67,23,49.0
68,23,49.0
69,35,49.0
70,35,49.0
71,35,49.0
72,23,49.0
73,23,49.0
74,23,49.0
75,35,49.0
76,35,49.0
77,35,49.0
78,23,49.0
79,23,49.0
80,23,49.0
81,35,49.0
82,35,49.0
83,35,49.0
84,23,49.0
85,23,49.0
86,23,49.0
87,35,49.0
88,35,49.0
89,35,49.0
90,23,49.0
91,23,49.0
92,23,49.0
93,35,49.0
94,35,49.0
95,35,49.0
96,23,49.0
97,23,49.0
98,23,49.0
99,35,49.0
100,35,49.0
101,35,49.0
102,23,49.0
103,23,49.0
104,23,49.0
105,35,49.0
106,35,49.0
107,35,49.0
108,23,49.0
109,23,49.0
110,23,49.0
111,35,49.0
112,35,49.0
113,35,49.0
114,23,49.0
115,23,49.0
116,23,49.0
117,35,49.0
118,35,49.0
119,35,49.0
120,23,49.0
121,23,49.0
122,23,49.0
123,35,49.0
124,35,49.0
125,35,49.0
126,23,49.0
127,23,49.0
128,23,49.0
129,35,49.0
130,35,49.0
131,35,49.0
132,23,49.0
133,23,49.0
134,23,49.0
135,35,49.0
136,35,49.0
137,35,49.0
138,23,49.0
139,23,49.0
140,23,49.0
141,35,49.0
142,35,49.0
143,35,49.0
144,23,49.0
145,23,49.0
146,23,49.0
147,35,49.0
148,35,49.0
149,35,49.0
150,23,49.0
151,23,49.0
152,23,49.0
153,35,49.0
154,35,49.0
155,35,49.0
156,23,49.0
157,23,49.0
158,23,49.0
159,35,49.0
160,35,49.0
161,35,49.0
162,23,49.0
163,23,49.0
164,23,49.0
165,35,49.0
166,35,49.0
167,35,49.0
168,23,49.0
169,23,49.0
170,23,49.0
171,35,49.0
172,35,49.0
173,35,49.0
174,23,49.0
175,23,49.0
176,23,49.0
177,35,49.0
178,35,49.0
179,35,49.0
180,23,49.0
181,23,49.0
182,23,49.0
183,35,49.0
184,35,49.0
185,35,49.0
186,23,49.0
187,23,49.0
188,23,49.0
189,35,49.0
190,35,49.0
191,35,49.0
192,23,49.0
193,23,49.0
194,23,49.0
195,35,49.0
196,35,49.0
197,35,49.0
198,23,49.0
199,23,49.0
200,23,49.0
201,35,49.0
202,35,49.0
203,35,49.0
204,23,49.0
205,23,49.0
206,23,49.0
207,35,49.0
208,35,49.0
209,35,49.0
210,23,49.0
211,23,49.0
212,23,49.0
213,35,49.0
214,35,49.0
215,35,49.0
216,23,49.0
217,23,49.0
218,23,49.0
219,35,49.0
220,35,49.0
221,35,49.0
222,23,49.0
223,23,49.0
224,23,49.0
225,35,49.0
226,35,49.0
227,35,49.0
228,23,49.0
229,23,49.0
230,23,49.0
231,35,49.0
232,35,49.0
233,35,49.0
234,23,49.0
235,23,49.0
236,23,49.0
237,35,49.0
238,35,49.0
239,35,49.0
240,23,49.0
241,23,49.0
242,23,49.0
243,35,49.0
244,35,49.0
245,35,49.0
246,23,49.0
247,23,49.0
248,23,49.0
249,35,49.0
250,35,49.0
251,35,49.0
252,23,49.0
253,23,49.0
254,23,49.0
255,35,49.0
256,35,49.0
257,35,49.0
258,23,49.0
259,23,49.0
260,23,49.0
261,35,49.0
262,35,49.0
263,35,49.0
264,23,49.0
265,23,49.0
266,23,49.0
267,35,49.0
268,35,49.0
269,35,49.0
270,23,49.0
271,23,49.0
272,23,49.0
273,35,49.0
274,35,49.0
275,35,49.0
276,23,49.0
277,23,49.0
278,23,49.0
279,35,49.0
280,35,49.0
281,35,49.0
282,23,49.0
283,23,49.0
284,23,49.0
285,35,49.0
286,35,49.0
287,35,49.0
288,23,49.0
289,23,49.0
290,23,49.0
291,35,49.0
292,35,49.0
293,35,49.0
294,23,49.0
295,23,49.0
296,23,49.0
297,35,49.0
298,35,49.0
299,35,49.0
300,23,49.0
301,23,49.0
302,23,49.0
303,35,49.0
304,35,49.0
305,35,49.0
306,23,49.0
307,23,49.0
308,23,49.0
309,35,49.0
310,35,49.0
311,35,49.0
312,23,49.0
313,23,49.0
314,23,49.0
315,35,49.0
316,35,49.0
317,35,49.0
318,23,49.0
319,23,49.0
320,23,49.0
321,35,49.0
322,35,49.0
323,35,49.0
324,23,49.0
325,23,49.0
326,23,49.0
327,35,49.0
328,35,49.0
329,35,49.0
330,23,49.0
331,23,49.0
332,23,49.0
333,35,49.0
334,35,49.0
335,35,49.0
336,23,49.0
337,23,49.0
338,23,49.0
339,35,49.0
340,35,49.0
341,35,49.0
342,23,49.0
343,23,49.0
344,23,49.0
345,35,49.0
346,35,49.0
347,35,49.0
348,23,49.0
349,23,49.0
350,23,49.0
351,35,49.0
352,35,49.0
353,35,49.0
354,23,49.0
355,23,49.0
356,23,49.0
357,35,49.0
358,35,49.0
359,35,49.0
360,23,62.0
360,35,62.0
361,23,62.0
361,35,62.0
362,23,62.0
362,35,62.0
363,23,62.0
363,35,62.0
364,23,62.0
364,35,62.0
365,23,62.0
365,35,62.0
366,23,62.0
366,35,62.0
367,23,62.0
367,35,62.0
368,23,62.0
368,35,62.0
369,23,62.0
369,35,62.0
370,23,62.0
370,35,62.0
371,23,62.0
371,35,62.0
372,23,62.0
372,35,62.0
373,23,62.0
373,35,62.0
374,23,62.0
374,35,62.0
375,23,62.0
375,35,62.0
376,23,62.0
376,35,62.0
377,23,62.0
377,35,62.0
378,23,62.0
378,35,62.0
379,23,62.0
379,35,62.0
380,23,62.0
380,35,62.0
381,23,62.0
381,35,62.0
382,23,62.0
382,35,62.0
383,23,62.0
383,35,62.0
384,23,62.0
384,35,62.0
385,23,62.0
385,35,62.0
386,23,62.0
386,35,62.0
387,23,62.0
387,35,62.0
388,23,62.0
388,35,62.0
389,23,62.0
389,35,62.0
390,23,62.0
390,35,62.0
391,23,62.0
391,35,62.0
392,23,62.0
392,35,62.0
393,23,62.0
393,35,62.0
394,23,62.0
394,35,62.0
395,23,62.0
395,35,62.0
396,23,62.0
396,35,62.0
397,23,62.0
397,35,62.0
398,23,62.0
398,35,62.0
399,23,62.0
399,35,62.0
400,23,62.0
400,35,62.0
401,23,62.0
401,35,62.0
402,23,62.0
402,35,62.0
403,23,62.0
403,35,62.0
404,23,62.0
404,35,62.0
405,23,62.0
405,35,62.0
406,23,62.0
406,35,62.0
407,23,62.0
407,35,62.0
408,23,62.0
408,35,62.0
409,23,62.0
409,35,62.0
410,23,62.0
410,35,62.0
411,23,62.0
411,35,62.0
412,23,62.0
412,35,62.0
413,23,62.0
413,35,62.0
414,23,62.0
414,35,62.0
415,23,62.0
415,35,62.0
416,23,62.0
416,35,62.0
417,23,62.0
417,35,62.0
418,23,62.0
418,35,62.0
419,23,62.0
419,35,62.0
420,23,62.0
420,35,62.0
421,23,62.0
421,35,62.0
422,23,62.0
422,35,62.0
423,23,62.0
423,35,62.0
424,23,62.0
424,35,62.0
425,23,62.0
425,35,62.0
426,23,62.0
426,35,62.0
427,23,62.0
427,35,62.0
428,23,62.0
428,35,62.0
429,23,62.0
429,35,62.0
430,23,62.0
430,35,62.0
431,23,62.0
431,35,62.0
432,23,62.0
432,35,62.0
433,23,62.0
433,35,62.0
434,23,62.0
434,35,62.0
435,23,62.0
435,35,62.0
436,23,62.0
436,35,62.0
437,23,62.0
437,35,62.0
438,23,62.0
438,35,62.0
439,23,62.0
439,35,62.0
440,23,62.0
440,35,62.0
441,23,62.0
441,35,62.0
442,23,62.0
442,35,62.0
443,23,62.0
443,35,62.0
444,23,62.0
444,35,62.0
445,23,62.0
445,35,62.0
446,23,62.0
446,35,62.0
447,23,62.0
447,35,62.0
448,23,62.0
448,35,62.0
449,23,62.0
449,35,62.0
450,23,62.0
450,35,62.0
451,23,62.0
451,35,62.0
452,23,62.0
452,35,62.0
453,23,62.0
453,35,62.0
454,23,62.0
454,35,62.0
455,23,62.0
455,35,62.0
456,23,62.0
456,35,62.0
457,23,62.0
457,35,62.0
458,23,62.0
458,35,62.0
459,23,62.0
459,35,62.0
460,23,62.0
460,35,62.0
461,23,62.0
461,35,62.0
462,23,62.0
462,35,62.0
463,23,62.0
463,35,62.0
464,23,62.0
464,35,62.0
465,23,62.0
465,35,62.0
466,23,62.0
466,35,62.0
467,23,62.0
467,35,62.0
468,23,62.0
468,35,62.0
469,23,62.0
469,35,62.0
470,23,62.0
470,35,62.0
471,23,62.0
471,35,62.0
472,23,62.0
472,35,62.0
473,23,62.0
473,35,62.0
474,23,62.0
474,35,62.0
475,23,62.0
475,35,62.0
476,23,62.0
476,35,62.0
477,23,62.0
477,35,62.0
478,23,62.0
478,35,62.0
479,23,62.0
479,35,62.0
480,23,62.0
480,35,62.0
481,23,62.0
481,35,62.0
482,23,62.0
482,35,62.0
483,23,62.0
483,35,62.0
484,23,62.0
484,35,62.0
485,23,62.0
485,35,62.0
486,23,62.0
486,35,62.0
487,23,62.0
487,35,62.0
488,23,62.0
488,35,62.0
489,23,62.0
489,35,62.0
490,23,62.0
490,35,62.0
491,23,62.0
491,35,62.0
492,23,62.0
492,35,62.0
493,23,62.0
493,35,62.0
494,23,62.0
494,35,62.0
495,23,62.0
495,35,62.0
496,23,62.0
496,35,62.0
497,23,62.0
497,35,62.0
498,23,62.0
498,35,62.0
499,23,62.0
499,35,62.0
500,23,62.0
500,35,62.0
501,23,62.0
501,35,62.0
502,23,62.0
502,35,62.0
503,23,62.0
503,35,62.0
504,23,62.0
504,35,62.0
505,23,62.0
505,35,62.0
506,23,62.0
506,35,62.0
507,23,62.0
507,35,62.0
508,23,62.0
508,35,62.0
509,23,62.0
509,35,62.0
510,23,62.0
510,35,62.0
511,23,62.0
511,35,62.0
512,23,62.0
512,35,62.0
513,23,62.0
513,35,62.0
514,23,62.0
514,35,62.0
515,23,62.0
515,35,62.0
516,23,62.0
516,35,62.0
517,23,62.0
517,35,62.0
518,23,62.0
518,35,62.0
519,23,62.0
519,35,62.0
520,23,62.0
520,35,62.0
521,23,62.0
521,35,62.0
522,23,62.0
522,35,62.0
523,23,62.0
523,35,62.0
524,23,62.0
524,35,62.0
525,23,62.0
