x,y,z
72,42,62.0
72,54,62.0
73,42,62.0
73,54,62.0
74,42,62.0
74,54,62.0
75,42,62.0
75,54,62.0
76,42,62.0
76,54,62.0
77,42,62.0
77,54,62.0
78,42,62.0
78,54,62.0
79,42,62.0
79,54,62.0
80,42,62.0
80,54,62.0
81,42,62.0
81,54,62.0
82,42,62.0
82,54,62.0
83,42,62.0
83,54,62.0
84,42,62.0
84,54,62.0
85,42,62.0
85,54,62.0
86,42,62.0
86,54,62.0
87,42,62.0
87,54,62.0
88,42,62.0
88,54,62.0
89,42,62.0
89,54,62.0
90,42,62.0
90,54,62.0
91,42,62.0
91,54,62.0
92,42,62.0
92,54,62.0
93,42,62.0
93,54,62.0
94,42,62.0
94,54,62.0
95,42,62.0
95,54,62.0
96,42,62.0
96,54,62.0
97,42,62.0
97,54,62.0
98,42,62.0
98,54,62.0
99,42,62.0
99,54,62.0
100,42,62.0
100,54,62.0
101,42,62.0
101,54,62.0
102,42,62.0
102,54,62.0
103,42,62.0
103,54,62.0
104,42,62.0
104,54,62.0
105,42,62.0
105,54,62.0
106,42,62.0
106,54,62.0
107,42,62.0
107,54,62.0
108,44,62.0
108,56,62.0
109,44,62.0
109,56,62.0
110,44,62.0
110,56,62.0
111,44,62.0
111,56,62.0
112,44,62.0
112,56,62.0
113,44,62.0
113,56,62.0
114,44,62.0
114,56,62.0
115,44,62.0
115,56,62.0
116,44,62.0
116,56,62.0
117,44,62.0
117,56,62.0
118,44,62.0
118,56,62.0
119,44,62.0
119,56,62.0
120,44,62.0
120,56,62.0
121,44,62.0
121,56,62.0
122,44,62.0
122,56,62.0
123,44,62.0
123,56,62.0
124,44,62.0
124,56,62.0
125,44,62.0
125,56,62.0
126,44,62.0
126,56,62.0
127,44,62.0
127,56,62.0
128,44,62.0
128,56,62.0
129,44,62.0
129,56,62.0
130,44,62.0
130,56,62.0
131,44,62.0
131,56,62.0
132,44,62.0
132,56,62.0
133,44,62.0
133,56,62.0
134,44,62.0
134,56,62.0
135,44,62.0
135,56,62.0
136,44,62.0
136,56,62.0
137,44,62.0
137,56,62.0
138,44,62.0
138,56,62.0
139,44,62.0
139,56,62.0
140,44,62.0
140,56,62.0
141,44,62.0
141,56,62.0
142,44,62.0
142,56,62.0
143,44,62.0
143,56,62.0
144,42,62.0
144,54,62.0
145,42,62.0
145,54,62.0
146,42,62.0
146,54,62.0
147,44,62.0
147,56,62.0
148,44,62.0
148,56,62.0
149,44,62.0
149,56,62.0
150,44,62.0
150,56,62.0
151,44,62.0
151,56,62.0
152,44,62.0
152,56,62.0
153,44,62.0
153,56,62.0
154,44,62.0
154,56,62.0
155,44,62.0
155,56,62.0
156,44,62.0
156,56,62.0
157,44,62.0
157,56,62.0
158,44,62.0
158,56,62.0
159,44,62.0
159,56,62.0
160,44,62.0
160,56,62.0
161,44,62.0
161,56,62.0
162,44,62.0
162,56,62.0
163,44,62.0
163,56,62.0
164,44,62.0
164,56,62.0
165,44,62.0
165,56,62.0
166,44,62.0
166,56,62.0
167,44,62.0
167,56,62.0
168,44,88.0
168,56,88.0
169,44,88.0
169,56,88.0
170,44,88.0
170,56,88.0
171,44,88.0
171,56,88.0
172,44,88.0
172,56,88.0
173,44,88.0
173,56,88.0
174,44,88.0
174,56,88.0
175,44,88.0
175,56,88.0
176,44,88.0
176,56,88.0
177,44,88.0
177,56,88.0
178,44,88.0
178,56,88.0
179,44,88.0
179,56,88.0
180,44,88.0
180,56,88.0
181,44,88.0
181,56,88.0
182,44,88.0
182,56,88.0
183,44,88.0
183,56,88.0
184,44,88.0
184,56,88.0
185,44,88.0
185,56,88.0
186,44,88.0
186,56,88.0
187,44,88.0
187,56,88.0
188,44,88.0
188,56,88.0
189,44,88.0
189,56,88.0
190,44,88.0
190,56,88.0
191,44,88.0
191,56,88.0
192,44,88.0
192,56,88.0
193,44,88.0
193,56,88.0
194,44,88.0
194,56,88.0
195,44,88.0
195,56,88.0
196,44,88.0
196,56,88.0
197,44,88.0
197,56,88.0
198,44,88.0
198,56,88.0
199,44,88.0
199,56,88.0
200,44,88.0
200,56,88.0
201,44,88.0
201,56,88.0
202,44,88.0
202,56,88.0
203,44,88.0
203,56,88.0
204,44,88.0
204,56,88.0
205,44,88.0
205,56,88.0
206,44,88.0
206,56,88.0
207,44,88.0
207,56,88.0
208,44,88.0
208,56,88.0
209,44,88.0
209,56,88.0
210,44,88.0
210,56,88.0
211,44,88.0
211,56,88.0
212,44,88.0
212,56,88.0
213,44,88.0
213,56,88.0
214,44,88.0
214,56,88.0
215,44,88.0
215,56,88.0
216,42,62.0
216,54,62.0
217,42,62.0
217,54,62.0
218,42,62.0
218,54,62.0
219,44,62.0
219,56,62.0
220,44,62.0
220,56,62.0
221,44,62.0
221,56,62.0
222,44,62.0
222,56,62.0
223,44,62.0
223,56,62.0
224,44,62.0
224,56,62.0
225,44,62.0
225,56,62.0
226,44,62.0
226,56,62.0
227,44,62.0
227,56,62.0
228,44,62.0
228,56,62.0
229,44,62.0
229,56,62.0
230,44,62.0
230,56,62.0
231,44,62.0
231,56,62.0
232,44,62.0
232,56,62.0
233,44,62.0
233,56,62.0
234,44,62.0
